wavelog_input,flatflux_input,flatflux_err_input,flatflux_input_sm
3266.330078,-0.083350,0.065298,-0.018686
3270.755127,-0.032395,0.079706,-0.016138
3275.186035,0.027645,0.103638,-0.013250
3279.623047,0.012452,0.119945,-0.009337
3284.065918,0.104681,0.121760,-0.005152
3288.515137,0.016832,0.121872,-0.000216
3292.969971,-0.123569,0.121151,0.005221
3297.431152,0.039053,0.123042,0.010880
3301.897949,0.011458,0.139276,0.017327
3306.371094,-0.091817,0.138189,0.023430
3310.850586,-0.086324,0.141299,0.030410
3315.335938,-0.007137,0.140255,0.036905
3319.827148,-0.061447,0.144973,0.043753
3324.324707,-0.141819,0.145658,0.050277
3328.828125,-0.002687,0.143520,0.056832
3333.337646,0.002196,0.141420,0.062974
3337.853516,0.120542,0.139492,0.068784
3342.375244,0.198538,0.137934,0.074328
3346.903320,0.316353,0.135937,0.079141
3351.437500,0.387061,0.134102,0.083824
3355.977539,0.374754,0.134824,0.087557
3360.524170,0.297452,0.134027,0.090984
3365.076660,-0.245227,0.132309,0.093589
3369.635498,0.088070,0.131290,0.095786
3374.200195,-0.113374,0.131357,0.097135
3378.771484,-0.019875,0.131368,0.098012
3383.348633,-0.034624,0.131369,0.098084
3387.932129,-0.025043,0.131916,0.097843
3392.521973,-0.002199,0.133051,0.096731
3397.117920,0.313695,0.133051,0.095361
3401.719971,0.091259,0.133472,0.093320
3406.328125,-0.124809,0.133466,0.090911
3410.942871,-0.361930,0.133793,0.087944
3415.563965,0.008198,0.133739,0.084904
3420.190918,0.206457,0.133591,0.081314
3424.824219,0.056173,0.134196,0.077804
3429.463867,0.349610,0.134291,0.074129
3434.109863,0.207401,0.134664,0.070381
3438.762207,0.111418,0.136190,0.066677
3443.420898,0.190569,0.136306,0.062897
3448.085693,0.369021,0.136964,0.059260
3452.756836,0.259801,0.137183,0.055431
3457.434326,-0.058356,0.137318,0.051923
3462.118164,-0.022227,0.137232,0.048185
3466.808594,0.055650,0.137355,0.044872
3471.504883,0.062543,0.137271,0.041350
3476.208008,0.101492,0.137253,0.038118
3480.917236,-0.023535,0.136819,0.035038
3485.632812,0.074469,0.136862,0.031924
3490.354980,0.024670,0.136889,0.029184
3495.083496,-0.073592,0.136314,0.026382
3499.818115,-0.003912,0.135742,0.023968
3504.559326,0.015214,0.135778,0.021520
3509.307129,0.050197,0.135443,0.019228
3514.061523,0.055242,0.133691,0.017442
3518.821777,-0.179361,0.133591,0.015594
3523.588867,0.122615,0.134287,0.013920
3528.362549,-0.041772,0.134389,0.012525
3533.142578,-0.122731,0.133745,0.011278
3537.928711,-0.025685,0.131481,0.010354
3542.721680,0.000827,0.126932,0.009432
3547.520996,0.059937,0.122676,0.008836
3552.327148,-0.100267,0.120269,0.008377
3557.139404,-0.147694,0.114540,0.008067
3561.958252,-0.112110,0.114543,0.008016
3566.783691,0.018301,0.112372,0.008036
3571.615723,0.008722,0.111796,0.008172
3576.454102,0.110251,0.110841,0.008770
3581.299316,-0.152486,0.110302,0.009050
3586.150879,0.005881,0.109954,0.009671
3591.009277,0.098912,0.107232,0.010501
3595.874023,0.020782,0.107862,0.011232
3600.745117,0.090749,0.105435,0.011988
3605.623291,0.023620,0.093015,0.013056
3610.507812,-0.001423,0.092573,0.013901
3615.399414,0.123888,0.092867,0.014756
3620.297119,0.058887,0.092822,0.015974
3625.201660,-0.107991,0.087826,0.016718
3630.112793,0.207659,0.086549,0.017580
3635.030518,0.095341,0.086430,0.018491
3639.955078,0.147671,0.085473,0.019214
3644.886230,-0.075590,0.077954,0.019794
3649.823975,-0.037876,0.075197,0.020329
3654.768555,0.019396,0.074302,0.020773
3659.719727,0.075745,0.074023,0.020968
3664.677490,0.122271,0.074095,0.020977
3669.642090,0.019821,0.074367,0.020972
3674.613525,-0.062051,0.074010,0.020673
3679.591553,0.061219,0.073919,0.020154
